comName,sciName,lonName,obsDate,howMany

Eurasian Coot,Fulica atra,Zagreb--Retencija Blato,2022-08-20 18:27
Common Wood-Pigeon,Columba palumbus,Zagreb--Retencija Blato,2022-08-20 18:27
Common Sandpiper,Actitis hypoleucos,Zagreb--Retencija Blato,2022-08-20 18:27
European Bee-eater,Merops apiaster,Zagreb--Retencija Blato,2022-08-20 18:27
Common Greenshank,Tringa nebularia,Zagreb--Retencija Blato,2022-08-20 18:27
Common Tern,Sterna hirundo,Zagreb--Retencija Blato,2022-08-20 18:27
Barn Swallow,Hirundo rustica,Zagreb--Retencija Blato,2022-08-20 18:27
Black-headed Gull,Chroicocephalus ridibundus,Zagreb--Retencija Blato,2022-08-20 18:27
Common Shelduck,Tadorna tadorna,Zagreb--Retencija Blato,2022-08-20 18:27
Eurasian Kestrel,Falco tinnunculus,Zagreb--Retencija Blato,2022-08-20 18:27
